text,annotation_105,annotation_106,annotation_107,annotation_108
Get CoVID Vaccines to Nepal ASAP and prevent a humanitarian disaster,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Compensate Essential Workers,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Amend Recent COVID-19 Restrictions for Personal Care Services in London-Middlesex from,anti-mitigation,anti-mitigation,anti-mitigation,unclear
Petition against COVID-19 & Quarantine Bill: Say NO! to abuse of power and human rights.,unclear,pro-mitigation,anti-mitigation,anti-mitigation
KCL Has Coronavirus Case: Petition to Have Online Classes by March 9th,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
School safety.,unclear,pro-mitigation,pro-mitigation,unclear
NCAA Covid-19 Eligibility Relief,unclear,pro-mitigation,unclear,unclear
RI State schools to STOP charging campus fees when classes are online.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Let these military pets come home!,unclear,anti-mitigation,unclear,unclear
Texas State: Cancel all online class fees.,pro-mitigation,pro-mitigation,unclear,unclear
Vermeiden von Pandemien - Schließung chinesischer Tiermärkte,unclear,pro-mitigation,pro-mitigation,unclear
Help SJSU Students Cancel Their Lease at The Grad in the Middle of COVID-19 Outbreak!,unclear,unclear,pro-mitigation,pro-mitigation
Suspend mortgage and rent payments during Covid-19 crisis in New Jersey,unclear,pro-mitigation,unclear,unclear
COVID-19 Response to Support Families with Disabled Children,pro-mitigation,pro-mitigation,unclear,unclear
Save Roma St Parklands,unclear,anti-mitigation,unclear,unclear
Guarantee UEA Final Year Students A Graduation Ceremony,unclear,unclear,anti-mitigation,anti-mitigation
Uber’s “ Clean Air Fee” to be paid to Uber Drivers as Emergency Situation ( COVID-19 ),pro-mitigation,unclear,pro-mitigation,anti-mitigation
End Brookings City Council COVID Policies,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Make Google Education Services available for Iran,unclear,unclear,unclear,unclear
Queens Park Allotment Covid-19,unclear,pro-mitigation,unclear,unclear
Close UO Eugene Campus due to COVID-19 Death in Washington and New Cases,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Life-saving measures to protect Louisiana Prisoners from COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Require Face Masks in Idaho Shared Public Spaces,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Give Stanford Graduate Students Housing Flexibility w/COVID-19 Concerns,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Allow International Students to stay in the U​.​S. even with institutions going online,pro-mitigation,pro-mitigation,unclear,unclear
Close schools over coronovirus,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Tax relief for key worker during Covid-19 crisis,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Grant all illegal migrants leave to remain in Ireland.,pro-mitigation,unclear,unclear,unclear
Allow Dorset Council powers to limit tourists and protect our local NHS from a second wave,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Bring back the six sports impacted by the St. Edward's University Athletics budget cuts,unclear,unclear,unclear,anti-mitigation
Break due to the Pandemic,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Don’t forget Ltd company business owners during COVID-19,unclear,unclear,pro-mitigation,unclear
Provisional licenses for eligible  teens in MA who are affected by COVID-19 shut down.,unclear,pro-mitigation,pro-mitigation,pro-mitigation
EUA Approval From FDA For Rapid COVID-19 Tests,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
STOP oil drilling in The Bahamas,unclear,pro-mitigation,unclear,unclear
Delay reopening of Arkansas Public Schools because of COVID-19. Protect our children!,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
LockdownPakistan- economic losses now or disastrous economic and human losses later?,unclear,unclear,unclear,unclear
Protect pregnant healthcare workers in the UK from COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Save Altitude Trampoline Park in Spokane Valley,unclear,anti-mitigation,unclear,unclear
Hazard Pay for Security Officers as Fontliners during COVID-19 Pandemic,pro-mitigation,unclear,unclear,pro-mitigation
Heritage Golf & Country Club - don’t kill beloved local kangas!,unclear,unclear,unclear,unclear
Covid-19 shouldn't stop academic Justice,unclear,unclear,unclear,anti-mitigation
Tell Jim Justice to lock down West Virginia,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
GDC & CoreCivic Prisons Covid Release Must Happen Immediately: Save Our Loved Ones!!!,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Bring back some flight services to Queenstown,unclear,anti-mitigation,anti-mitigation,anti-mitigation
Governor Raimondo: Allocate federal COVID-19 relief funds to save RI small businesses NOW.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
CANCELLATION OF DU EXAMINATIONS,unclear,pro-mitigation,unclear,unclear
"Covid-19 Support for Entrepreneurs, Consultants & Gig Economy & Part-time Workers",unclear,pro-mitigation,pro-mitigation,pro-mitigation
Open Smaller Gyms in Ontario,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Les 10 réclamations urgentes pour lutter plus efficacement contre le COVID-19 en Belgique,unclear,pro-mitigation,pro-mitigation,unclear
Let 27 North Residents Cancel Their Lease Contracts Amid COVID-19,unclear,unclear,unclear,unclear
Faith in our ADOM Schools,unclear,unclear,unclear,unclear
CoronaVirus - Coventry University deadline extension,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
To get the Summit Athlete Gift-Bags,unclear,anti-mitigation,unclear,unclear
"Cheerleading,  Dance and amateur sports clubs to be included in Covid 19 Announcements",anti-mitigation,pro-mitigation,unclear,anti-mitigation
University of San Diego changes courses to online due to the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Father is dying from Covid19 & Plasma is his only hope and hospital won’t give it to him!,unclear,unclear,anti-mitigation,anti-mitigation
Stop companies Profiteering from £120 Private Covid-19 Testing!,anti-mitigation,unclear,unclear,pro-mitigation
Suspend Mortgage & Rent Payments in Maryland During COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Yoga Studios Are Not Gyms,unclear,unclear,anti-mitigation,unclear
"Save the dagwood dog guy,",unclear,pro-mitigation,anti-mitigation,unclear
Stop all animal transports during covid-19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"ОСТАНОВИТЬ РЕПРЕССИИ, ОСВОБОДИТЬ ПОЛИТЗАКЛЮЧЕННЫХ И  ЗАДЕРЖАННЫХ ПО ПОЛИТИЧЕСКИМ МОТИВАМ",unclear,unclear,unclear,unclear
Ensuring the safety and Respect of healthcare professionals in current pandemic scenario,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Indiana for the Safe Return to Schools,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Close Chipotle during COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Keep children out of school during the COVID-19 crisis,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Save the fitness Industry from the economic effect of Covid 19,unclear,anti-mitigation,unclear,pro-mitigation
Petition to Reopen NYS Gymnastics Clubs,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Implement a No Detriment Policy for University of the West of England,unclear,anti-mitigation,unclear,pro-mitigation
"Suspend rent, mortgage and utilities bill of Texas",unclear,pro-mitigation,pro-mitigation,pro-mitigation
Ontario MRTs/DMSs united to get the respect/recognition we deserve. COVID-19 Pandemic Pay,pro-mitigation,anti-mitigation,pro-mitigation,anti-mitigation
#CancelofflineexamsinKA,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Spotlight on NJ Unemployment Lag during Covid-19 Shutdown!,unclear,unclear,unclear,anti-mitigation
SAVE THE CUNY STUDENTS,unclear,pro-mitigation,pro-mitigation,unclear
Urging the CSWE to reconsider field practice hour waiver due to the government shutdowns,pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
McConnell and Schumer: Make it Monthly Stimulus Checks & Support the #PeoplesStimulus,unclear,anti-mitigation,pro-mitigation,unclear
NSFAS should provide students with Laptops to study during this pandemic of COVID 19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Declare Digital Learning plan for Education deprived school children of Rural Maharashtra,pro-mitigation,pro-mitigation,unclear,pro-mitigation
No to abandonment,unclear,pro-mitigation,unclear,unclear
NJ edTPA COVID-19: WAIVE edTPA for Fall 2020 Graduates,unclear,pro-mitigation,unclear,pro-mitigation
National Poetry Library SOS #NPLSOS,unclear,anti-mitigation,unclear,unclear
Make Ryerson courses pass/fail,unclear,pro-mitigation,unclear,unclear
Petition for PDPU to take prevention against COVID 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
GOVERNMENTS TO BAN ALL WET MARKETS-STOP ANOTHER COVID 19 OUTBREAK,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Gov. Kemp, Save Lives, Let Our Cities Mask!",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
No Colleges until Zero Covid Case in the State or until Vaccines are out,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop Sussex from Sacking their Staff! Covid-19,unclear,unclear,unclear,unclear
PROTECT  OREGON  INMATES  FROM  CORONAVIRUS (COVID19),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Contra o FIM da Saúde Pública Federal no Rio de Janeiro,unclear,anti-mitigation,pro-mitigation,unclear
A year tax free after the pandemic for all key workers who had to work through covid 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
KEEP GYMS OPEN IN CT,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
President Rule in Bihar,unclear,unclear,unclear,unclear
Make Covid19 tests available to care staff working with vulnerable elderly people in care,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Open Outdoor Youth Sports Activities in Massachusetts,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Travel Ban on US & Europe,unclear,pro-mitigation,pro-mitigation,unclear
Make all UWL (online next because of Covid-19) classes pass or fail for this semester,pro-mitigation,unclear,unclear,unclear
Ask Concordia University to Suspend All In-Person Instruction,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
