text,annotation_88,annotation_89,annotation_90,annotation_92
Language Education in the Time of COVID-19,unclear,anti-mitigation,unclear,pro-mitigation
COVID-19 Test Kits,unclear,unclear,pro-mitigation,pro-mitigation
COVID 19 IN PRISON,unclear,unclear,unclear,unclear
Get Waled Home,unclear,unclear,pro-mitigation,unclear
Make pass/fail available for Mississippi State Students for the 2020-2021 academic year.,unclear,pro-mitigation,unclear,pro-mitigation
Governor Doug Burgum to Issue Mandatory Shelter-in-Place Order,unclear,unclear,unclear,unclear
Early release due to covid 19,unclear,unclear,unclear,pro-mitigation
Medical professionals need protection and gear to fight Covid 19 !,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Save Gilroy Recreation - Theater, Aquatics, Preschool, etc.",unclear,unclear,pro-mitigation,unclear
Class of 2020 to get their certification,unclear,unclear,unclear,unclear
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,unclear,unclear,unclear,anti-mitigation
Open the 2020-2021 School Year Traditionally in Shasta County,unclear,anti-mitigation,unclear,anti-mitigation
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,unclear,unclear,unclear,unclear
Cancel the STAAR test for the 2020/2021 school year,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Justice For Dr. Susan Moore,unclear,anti-mitigation,unclear,pro-mitigation
Extend Winter Break for Brock Students,unclear,anti-mitigation,pro-mitigation,pro-mitigation
Get American crew members home!,unclear,unclear,anti-mitigation,anti-mitigation
RAISE PSW WAGES TO $25​.​00/HOUR,pro-mitigation,pro-mitigation,unclear,unclear
COVID-19  Dance Studio Industry Economic Hardship,unclear,unclear,unclear,unclear
Support More Testing for Covid,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
UBC Partial Tuition Refund,unclear,unclear,unclear,pro-mitigation
Close China’s wet market permanently,unclear,unclear,unclear,pro-mitigation
#SaveOurYouth,unclear,anti-mitigation,unclear,unclear
Tuition Adjustments Due to COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,unclear,pro-mitigation,unclear,anti-mitigation
Cancel 10th Gujarat Board Exams,unclear,unclear,unclear,pro-mitigation
Cancellation of all University assignments and exams due to instability caused by COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,pro-mitigation,unclear,pro-mitigation,pro-mitigation
NOW reinstate all facial treatments from behind and to the side of the face.,unclear,anti-mitigation,unclear,unclear
Equestrian Riding relief,unclear,unclear,unclear,unclear
UWC must call off university!,unclear,unclear,unclear,pro-mitigation
Cancel Okanagan college  Classes due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
