text,annotation_27,annotation_28,annotation_29,annotation_30
Postpone CBSE Board Exams,unclear,pro-mitigation,unclear,unclear
Pay rise for paramedics and nurses,unclear,unclear,pro-mitigation,unclear
Too Soon To Open Georgia!,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Request to reconsider DPS Ruby Park school tuition and transport fees for COVID-19,pro-mitigation,unclear,pro-mitigation,unclear
Covid-19 Aesthetics / Salon / Massage Industry Warning & Economic Impact,pro-mitigation,unclear,unclear,unclear
Pause classes and encourage online classes to reduce the spread of Covid-19 in AMCKK,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Allow Salons to Operate with New Health Guidelines,pro-mitigation,anti-mitigation,pro-mitigation,unclear
Open Letter to the AAMC Concerning the Medical School Application Cycle During COVID-19,unclear,unclear,unclear,unclear
Canadian Nurses Deserve Hazard Pay For Pandemics,pro-mitigation,unclear,pro-mitigation,unclear
Maharashtra demands Resignation from Uddhav Thackeray,unclear,unclear,unclear,unclear
BC Health | Mandatory Mask Usage Across BC Shared Public Spaces,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Close Seattle Central College Campus Due to COVID-19 Death in Washington and New Cases,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Rescue Australians Stranded in Peru due to Coronavirus,pro-mitigation,unclear,unclear,unclear
Improve COVID-19 Procedures In Correctional Facilities,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Shut down Rosebank College,unclear,unclear,unclear,unclear
Stop Wildlife Medicine in China,unclear,unclear,unclear,unclear
Close Pace University NYC campus due to spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Wearing face masks in public should be made mandatory by government to prevent COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Open Canada VACs in India,unclear,unclear,unclear,unclear
Reduction on Vehicle Insurance rate during COVID 19,pro-mitigation,unclear,unclear,unclear
Safeguard the Right of New Jersey Laboring Women to Have Support During COVID-19 Crisis,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Petition for a Gradeless Semester,unclear,unclear,unclear,unclear
Davis Student Lease Cancellation and Rent Relief,unclear,unclear,unclear,unclear
Save the Hazlitt,unclear,unclear,unclear,unclear
Postpone CA exams for COVID Safety Reasons #CAExams,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Humanitarian Appeal to Release Maulana Delawar Hossain Sayedee,unclear,unclear,unclear,unclear
Remove the CalTPA as a requirement for teachers in current educational programs,unclear,unclear,unclear,unclear
Extend the validity of PLABs and the English language test by the GMC,unclear,unclear,unclear,unclear
Release Safoora Zargar,unclear,unclear,unclear,unclear
Postpone 10th and 12th boards exam due to rise in Covid19 cases.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Fair rights for students during covid,unclear,unclear,unclear,unclear
Unmask Iowa's School Children,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
To allow Malaysians with valid work pass to travel in and out of singapore,unclear,anti-mitigation,unclear,anti-mitigation
Keep Omaha Public Schools Online Until COVID-19 Controlled,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Joe Biden Must Step Down,unclear,unclear,unclear,unclear
"Central University of Lucknow is conducting exams from 16th , risking the health of studen",pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Financial Support for International Students in Australia facing hardships due to Covid-19,pro-mitigation,unclear,unclear,unclear
Freeze rent payments,unclear,unclear,unclear,unclear
"Animals are in pain, name groomers as an essential service in Ontario during COVID-19",unclear,unclear,unclear,unclear
2020-2021 Basketball Season,,unclear,unclear,"unclear,unclear"
Save Schmidt,unclear,unclear,unclear,unclear
All frontline NHS staff to receive testing for COVID 19 if symptomatic.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Hazard Pay for ""Essential"" workers",pro-mitigation,unclear,pro-mitigation,unclear
#FreeDarik,unclear,unclear,unclear,unclear
Start international flights in India,unclear,unclear,unclear,unclear
Please make masks mandatory in Georgia,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Suspend Central Vista Project and Spend the Rs 200 Billion to Fight Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
#LoveIsNotTourism: Petition for Binational Unmarried Couples to Reunite During Covid (US),anti-mitigation,anti-mitigation,unclear,anti-mitigation
Protect our children!!! Demand Covid release,pro-mitigation,anti-mitigation,unclear,unclear
Fight covid 19 san quentin,pro-mitigation,pro-mitigation,unclear,pro-mitigation
"Save the Coral City Camera, Don't Allow Disney Cruises to Destroy Our Urban Reef",unclear,unclear,unclear,unclear
Longer exercise hours - level 4 covid restrictions,pro-mitigation,unclear,unclear,unclear
Release Non-Violent Offenders in Prison Camps due to COVID-19,pro-mitigation,unclear,pro-mitigation,pro-mitigation
THE FATE OF AMAZONIA AND ITS GUARDIANS IS LINKED TO OURS - EUROPE MUST ACT IMMEDIATELY,unclear,unclear,unclear,unclear
Allow Reboot to open in San Francisco with COVID-19 safety precautions.,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Petition to register Mesut Ozil in Arsenal's Premier League and Europa League squads,unclear,unclear,unclear,unclear
Arizona Stay At Home Orders : COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Petition: to award general promotion to students in colleges associated with BU Bhopal.,unclear,unclear,unclear,unclear
"Compassionate medical release for Previn Coleman, amid COVID 19 crisis in Elkton FCI Ohio",pro-mitigation,unclear,unclear,unclear
Guru Gobind Singh Indraprastha University FINAL YEAR EXAMS TO BE CONDUCTED ONLINE.,unclear,pro-mitigation,pro-mitigation,unclear
Let Wisconsin Golf,unclear,unclear,unclear,unclear
SAVE DEL MAR HORSEPARK,unclear,unclear,unclear,unclear
Stop MANDATORY  Covid Testing for Suffolk County Athletes,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Shut down construction sites to prevent the spread of covid 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Have the RIIL to allow Mount Saint Charles and Hendricken to play the championship games,unclear,unclear,unclear,unclear
"Transparency, Testing, and Online Instruction to Prevent a COVID-19 Outbreak at Mizzou",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Lower SDSU Cost of Basic Tuition and Fees Due to COVID-19 and Transition to Online Classes,pro-mitigation,unclear,pro-mitigation,unclear
Protect Skateboard Retailers and Skateboarding As Essential Transportation During CoViD-19,pro-mitigation,unclear,unclear,unclear
Extend JobKeeper for Travel  Agency Agents and Mobile Travel Agents (Sole Traders).,unclear,unclear,unclear,unclear
The Heritage Private School: reduce payments for educational services during COVID-19,pro-mitigation,pro-mitigation,unclear,unclear
Keep Schools Closed Through COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Give Dolly Parton the Medal of Freedom,unclear,unclear,unclear,unclear
OUR LOVED ONES ARE DYING! Stop shielding nursing homes from liability!,unclear,unclear,anti-mitigation,unclear
Stop Greyhound Bus Lines from NYC,unclear,unclear,unclear,unclear
#FREE Donte Epps,unclear,unclear,unclear,unclear
COVID-19 IN Georgia's Prisons Rise,unclear,unclear,unclear,unclear
PROTECT OHIO’S FARMWORKERS FROM COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
NO to the COVID-19 Public Health Response Bill,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Pressure ICBC to Waive/Defer Monthly Insurance Premiums,unclear,unclear,unclear,unclear
Meralco: Bill Shock during the Covid Crisis,unclear,pro-mitigation,unclear,unclear
Stop Livermore Airport Expansion that includes new FBO & B737s. Reduce small plane noise.,unclear,unclear,unclear,unclear
Allow international students to remain in the U​.​S. to complete or continue their studies.,unclear,unclear,unclear,unclear
Minnesota Allow for the Operation of Guided Fishing and Charter Boat Captains,unclear,unclear,unclear,unclear
"Call for the resignation of Greg Glassman as CEO of CrossFit, Inc. #CancelGlassman",unclear,unclear,unclear,unclear
#SuspendOnlineClassesNOW,unclear,unclear,anti-mitigation,anti-mitigation
Lasershows statt Feuerwerke! #böllerfrei,unclear,unclear,unclear,unclear
Protect the UNT community from COVID-19 by suspending face-to-face classes and meetings.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Ban Gas-Powered  Leaf Blowers During COVID-19 Stay-At-Home Advisory in Massachusetts,pro-mitigation,pro-mitigation,pro-mitigation,unclear
"British people STILL showing support for Boris, despite the biased left media",unclear,unclear,unclear,unclear
"Separate Quarantine Wards, Med Check-ups for Women & Children in Jail",unclear,unclear,pro-mitigation,pro-mitigation
Keep Dr. Annie Bukacek on the Flathead City-County Health Board,unclear,unclear,unclear,unclear
"Stop Supporting Animal Cruelty, Tropical Smoothie Cafe!",unclear,unclear,unclear,unclear
Covid-19 Airbnb Hosts Economic Hardship,unclear,unclear,unclear,unclear
COVID-19,unclear,unclear,unclear,unclear
COVID-19 Impact: Need waiver for Small & Medium Business owners.,pro-mitigation,unclear,unclear,unclear
"Allocation of 20M to each Mp should instead go support health centers, doctors and nurses.",unclear,unclear,unclear,unclear
Abortion must be accessible for women across the EU,unclear,unclear,unclear,unclear
Conduct Final Examination for students in Online Mode to prevent risk of Covid Infection,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Request to set up a Covid 19 testing laboratory at GTA region, West Bengal.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Tamil Nadu needs to close colleges due to COVID- 19  Do You agree?,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"LET'S GET HOUSE BILL 1532 PASSED, REDUCE JAIL & PRISON POPULATIONS FROM SPREADING COVID-19",pro-mitigation,pro-mitigation,unclear,pro-mitigation
Postpone/Cancel CAIE's in Pakistan May/June 2020 due to Coronavirus outbreak.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Release Currie Hall Residents from Leases Amid COVID-19 Pandemic,pro-mitigation,unclear,unclear,unclear
Allow Parents in Botswana  to Purchase Baby & Children's Essentials for the Winter,unclear,unclear,unclear,unclear
Save covid-19 old infected patients across the world,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Change to Durham University Assesment in light of COVID-19 Pandemic.,pro-mitigation,unclear,unclear,unclear
Hospital visits to be permitted to critical patients who need their loved ones around them,unclear,anti-mitigation,unclear,anti-mitigation
Extend education loan grace period to support the graduates struggling to find jobs #COVID,pro-mitigation,unclear,pro-mitigation,unclear
COVID-19 Isn't Over and We Need Help: Tell the Senate to Pass the HEROES Act Immediately,pro-mitigation,pro-mitigation,unclear,unclear
Uso de mascarillas obligatorio en España para COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Hobart City Council should allow health workers to park for free during COVID-19 crisis.,pro-mitigation,unclear,pro-mitigation,unclear
Less Schoolwork during COVID-19 Quarantine,unclear,unclear,unclear,unclear
Requesting Free State Gov to provide list of companies who received Covid-19 Relief Fund,anti-mitigation,unclear,unclear,unclear
Allow Cruise Ships to come to Alaska,unclear,unclear,unclear,unclear
Doula Support in Nebraska Hospitals during COVID-19 Outbreaks,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Cancellation of semester exam 2019-2020 and using our exam fees to Relief fund.,unclear,unclear,pro-mitigation,unclear
Announce holidays for teachers and non teaching staff to combat corona threat,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Save Lives! Include ALL Diabetics in the COVID vaccine rollout in California,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"#saveliveslivebetter-Walmart Canada, please help keep your associates and customers safer!",unclear,unclear,pro-mitigation,unclear
Summer 2020 Graduations to be POSTPONED not CANCELLED,pro-mitigation,unclear,unclear,pro-mitigation
Eviction Moratorium South Africa,unclear,unclear,unclear,unclear
Students concern related to fees submission amid this covid.,unclear,pro-mitigation,unclear,unclear
Cancel school for at least two weeks to slow down the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Protect Inmates And Correctional Facility Staff Against Covid,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
A green recovery from COVID-19 in Northern Ireland,unclear,unclear,unclear,unclear
Expansion of covid related subsidies to new businesses,pro-mitigation,unclear,pro-mitigation,unclear
Demand Science-Based School Reopening Criteria in AZ!,unclear,unclear,pro-mitigation,unclear
Stop all air travel to Ireland from covid hotspots in the US,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
新型コロナウイルス感染拡大に伴う差別行為＝「コロナ差別」に際して日本政府に対策を求めます ー #差別を許さない,unclear,unclear,unclear,unclear
"Cancel International A Level & IGCSE Exams 2021
(CIE & Edexcel)",unclear,unclear,unclear,unclear
La entrada de las Doulas al proceso de parto junto al acompañante de la paciente.,unclear,unclear,unclear,unclear
